ID_CLIENTE,SAFRA_REF,INADIMPLENTE
4045739494965095560,2021-07,0.49%
6134696632487351445,2021-07,2.07%
6134696632487351445,2021-07,0.70%
6134696632487351445,2021-07,0.92%
5373371196946859811,2021-07,0.83%
3095686599956852697,2021-07,0.12%
3095686599956852697,2021-07,0.15%
3095686599956852697,2021-07,0.11%
8529899700094903171,2021-07,0.28%
8529899700094903171,2021-07,16.45%
8529899700094903171,2021-07,0.34%
8529899700094903171,2021-07,0.37%
8529899700094903171,2021-07,0.28%
8529899700094903171,2021-07,0.10%
8529899700094903171,2021-07,0.15%
499242942549937267,2021-07,1.73%
499242942549937267,2021-07,3.71%
499242942549937267,2021-07,16.57%
499242942549937267,2021-07,16.57%
499242942549937267,2021-07,16.57%
499242942549937267,2021-07,1.73%
499242942549937267,2021-07,18.71%
499242942549937267,2021-07,2.00%
499242942549937267,2021-07,2.21%
5897410907783139228,2021-07,1.04%
5897410907783139228,2021-07,0.76%
5897410907783139228,2021-07,3.22%
5897410907783139228,2021-07,2.46%
2083323809219952960,2021-07,0.27%
2083323809219952960,2021-07,17.81%
2083323809219952960,2021-07,17.81%
2083323809219952960,2021-07,17.81%
2083323809219952960,2021-07,0.04%
2083323809219952960,2021-07,0.27%
2083323809219952960,2021-07,0.05%
2083323809219952960,2021-07,0.43%
2083323809219952960,2021-07,25.94%
2083323809219952960,2021-07,25.94%
1953058402621337677,2021-07,5.54%
1953058402621337677,2021-07,4.29%
1953058402621337677,2021-07,6.72%
1953058402621337677,2021-07,6.61%
3408536439470975134,2021-07,1.60%
3408536439470975134,2021-07,1.60%
3408536439470975134,2021-07,1.60%
3408536439470975134,2021-07,1.18%
5687511145009775604,2021-07,0.55%
5687511145009775604,2021-07,92.27%
531805620371082364,2021-07,1.29%
4762256864594914240,2021-07,3.76%
8570963260597299378,2021-07,0.76%
5974858472822751652,2021-07,1.14%
4327694790333781288,2021-07,14.36%
4327694790333781288,2021-07,4.76%
8173830874846355280,2021-07,1.72%
8173830874846355280,2021-07,1.72%
8173830874846355280,2021-07,0.55%
8173830874846355280,2021-07,0.55%
8173830874846355280,2021-07,0.55%
8173830874846355280,2021-07,0.55%
8173830874846355280,2021-07,1.72%
8173830874846355280,2021-07,0.50%
8173830874846355280,2021-07,1.13%
8173830874846355280,2021-07,1.31%
2347028805684088098,2021-07,0.58%
3632378524835692731,2021-07,0.18%
3632378524835692731,2021-07,0.14%
3632378524835692731,2021-07,0.16%
2033394215069562776,2021-07,0.76%
2033394215069562776,2021-07,0.76%
2033394215069562776,2021-07,0.76%
2033394215069562776,2021-07,0.76%
3285246914299291124,2021-07,2.34%
3285246914299291124,2021-07,1.34%
3285246914299291124,2021-07,2.65%
3285246914299291124,2021-07,0.95%
2407532237672094312,2021-07,2.37%
2407532237672094312,2021-07,0.65%
2407532237672094312,2021-07,0.61%
5635781225931111684,2021-07,31.89%
5635781225931111684,2021-07,6.04%
1235244772550233980,2021-07,0.18%
1235244772550233980,2021-07,0.64%
1235244772550233980,2021-07,0.09%
4365965554261111250,2021-07,1.94%
5162636608292907782,2021-07,0.78%
8248484932270772248,2021-07,2.63%
924957821424248698,2021-07,0.96%
924957821424248698,2021-07,0.37%
924957821424248698,2021-07,0.28%
6828316696355015040,2021-07,9.92%
8409181491723988567,2021-07,2.80%
8409181491723988567,2021-07,2.80%
8409181491723988567,2021-07,3.34%
8409181491723988567,2021-07,1.29%
4532469127306079736,2021-07,0.11%
7664272163315705419,2021-07,12.68%
7664272163315705419,2021-07,2.02%
9206030810342980458,2021-07,0.48%
9206030810342980458,2021-07,1.74%
9206030810342980458,2021-07,0.16%
5810778736737569699,2021-07,0.76%
5810778736737569699,2021-07,0.69%
1366416810235233769,2021-07,0.09%
1366416810235233769,2021-07,0.07%
1366416810235233769,2021-07,0.23%
1366416810235233769,2021-07,3.77%
1366416810235233769,2021-07,0.07%
1366416810235233769,2021-07,0.05%
7908414709866823255,2021-07,1.41%
7908414709866823255,2021-07,10.29%
7908414709866823255,2021-07,1.65%
7908414709866823255,2021-07,1.65%
8994944800097997361,2021-07,1.34%
8994944800097997361,2021-07,1.20%
6950439982480713649,2021-07,20.34%
6950439982480713649,2021-07,20.34%
8901696535927078963,2021-07,0.50%
8901696535927078963,2021-07,0.57%
8901696535927078963,2021-07,0.50%
8901696535927078963,2021-07,0.50%
8901696535927078963,2021-07,0.91%
8901696535927078963,2021-07,0.33%
8901696535927078963,2021-07,0.49%
6204723742351094322,2021-07,0.76%
3095408468798675621,2021-07,0.19%
3095408468798675621,2021-07,0.19%
7722287846688771887,2021-07,2.53%
312543480920432545,2021-07,28.09%
312543480920432545,2021-07,3.03%
312543480920432545,2021-07,3.68%
6394935036014530592,2021-07,8.69%
6394935036014530592,2021-07,16.27%
3281617395243454427,2021-07,23.44%
1115703227712697214,2021-07,0.62%
1115703227712697214,2021-07,0.66%
8185063234515056194,2021-07,0.72%
8185063234515056194,2021-07,2.12%
8185063234515056194,2021-07,3.09%
8185063234515056194,2021-07,0.72%
8185063234515056194,2021-07,1.62%
7492389223353246125,2021-07,0.80%
7492389223353246125,2021-07,39.88%
7492389223353246125,2021-07,0.68%
6217788509719675691,2021-07,2.96%
6217788509719675691,2021-07,1.48%
8716163053080758848,2021-07,0.68%
8716163053080758848,2021-07,0.95%
8716163053080758848,2021-07,0.74%
8716163053080758848,2021-07,2.12%
8716163053080758848,2021-07,0.95%
8716163053080758848,2021-07,0.47%
324916756972236008,2021-07,0.26%
324916756972236008,2021-07,59.76%
324916756972236008,2021-07,0.29%
324916756972236008,2021-07,0.36%
324916756972236008,2021-07,0.29%
324916756972236008,2021-07,0.28%
7269781193318890653,2021-07,0.15%
7269781193318890653,2021-07,0.12%
6784879562354696650,2021-07,0.16%
8229446069655666941,2021-07,98.91%
8229446069655666941,2021-07,11.42%
4972567100282306577,2021-07,0.61%
5864443060004179363,2021-07,0.56%
5864443060004179363,2021-07,0.15%
5864443060004179363,2021-07,3.92%
5864443060004179363,2021-07,0.28%
5864443060004179363,2021-07,0.56%
8623308321032624474,2021-07,3.50%
8623308321032624474,2021-07,9.08%
8623308321032624474,2021-07,0.28%
4524147234488547993,2021-07,2.68%
4524147234488547993,2021-07,2.68%
4524147234488547993,2021-07,4.85%
8684964138237894839,2021-07,0.18%
6582676833651678345,2021-07,3.02%
6582676833651678345,2021-07,1.81%
6582676833651678345,2021-07,1.34%
6582676833651678345,2021-07,3.02%
6582676833651678345,2021-07,3.02%
6582676833651678345,2021-07,3.02%
6582676833651678345,2021-07,2.34%
6582676833651678345,2021-07,1.34%
1036256411320325774,2021-07,0.61%
1036256411320325774,2021-07,0.03%
968199235777440720,2021-07,0.72%
968199235777440720,2021-07,0.72%
968199235777440720,2021-07,0.45%
968199235777440720,2021-07,0.72%
968199235777440720,2021-07,0.45%
968199235777440720,2021-07,0.72%
968199235777440720,2021-07,0.65%
968199235777440720,2021-07,0.60%
6916556752218696485,2021-07,0.12%
6916556752218696485,2021-07,0.44%
6916556752218696485,2021-07,0.05%
6916556752218696485,2021-07,0.03%
6916556752218696485,2021-07,0.08%
6916556752218696485,2021-07,0.05%
6916556752218696485,2021-07,0.49%
6916556752218696485,2021-07,0.05%
6916556752218696485,2021-07,0.12%
6916556752218696485,2021-07,0.10%
6916556752218696485,2021-07,0.03%
6916556752218696485,2021-07,0.10%
6030285068945261052,2021-07,0.11%
6030285068945261052,2021-07,0.05%
6030285068945261052,2021-07,2.31%
6030285068945261052,2021-07,0.08%
6030285068945261052,2021-07,0.16%
4071158585850879204,2021-07,1.54%
4071158585850879204,2021-07,0.39%
4071158585850879204,2021-07,2.28%
4679462479444735708,2021-07,0.06%
4679462479444735708,2021-07,0.05%
4679462479444735708,2021-07,0.10%
4679462479444735708,2021-07,0.10%
4679462479444735708,2021-07,0.10%
4679462479444735708,2021-07,0.06%
4724876423989598202,2021-07,0.83%
4724876423989598202,2021-07,1.69%
4724876423989598202,2021-07,1.29%
2128970218770090704,2021-07,5.10%
2128970218770090704,2021-07,4.80%
2128970218770090704,2021-07,4.43%
1003144834589372198,2021-07,0.90%
1003144834589372198,2021-07,0.90%
9127318190908282126,2021-07,13.57%
9127318190908282126,2021-07,24.29%
8163895533020293251,2021-07,13.44%
8163895533020293251,2021-07,43.79%
8163895533020293251,2021-07,15.40%
5794903898038236832,2021-07,3.08%
5794903898038236832,2021-07,1.26%
5888474320320735000,2021-07,1.12%
5888474320320735000,2021-07,1.12%
5888474320320735000,2021-07,5.41%
761746217261797478,2021-07,0.21%
761746217261797478,2021-07,0.15%
1507697130807703164,2021-07,0.46%
1182975716201409626,2021-07,0.51%
1182975716201409626,2021-07,60.67%
1182975716201409626,2021-07,0.51%
1182975716201409626,2021-07,0.51%
1182975716201409626,2021-07,0.51%
5369576709077493659,2021-07,0.48%
3472934456083131714,2021-07,1.11%
717981637594591016,2021-07,1.92%
717981637594591016,2021-07,53.59%
717981637594591016,2021-07,3.22%
717981637594591016,2021-07,1.92%
8255085612985072878,2021-07,32.47%
8255085612985072878,2021-07,16.33%
7751080728852739823,2021-07,1.34%
7751080728852739823,2021-07,5.58%
4347826483121154490,2021-07,0.07%
4347826483121154490,2021-07,0.05%
4347826483121154490,2021-07,0.07%
4347826483121154490,2021-07,0.05%
4347826483121154490,2021-07,0.28%
4347826483121154490,2021-07,0.16%
4347826483121154490,2021-07,0.05%
4347826483121154490,2021-07,0.02%
4347826483121154490,2021-07,0.04%
2214132103234633622,2021-07,0.10%
2214132103234633622,2021-07,0.05%
2214132103234633622,2021-07,0.02%
2214132103234633622,2021-07,0.02%
2214132103234633622,2021-07,0.02%
410843023337872279,2021-07,20.86%
7637066986811047950,2021-07,13.73%
7637066986811047950,2021-07,6.30%
7637066986811047950,2021-07,3.69%
86110062990790869,2021-07,0.31%
5304536516981778801,2021-07,0.65%
5304536516981778801,2021-07,0.35%
5304536516981778801,2021-07,0.15%
7444686668183702737,2021-07,0.31%
7444686668183702737,2021-07,0.10%
682352428813668634,2021-07,0.19%
682352428813668634,2021-07,0.15%
682352428813668634,2021-07,0.15%
682352428813668634,2021-07,0.18%
682352428813668634,2021-07,0.13%
682352428813668634,2021-07,0.13%
7613717984547031729,2021-07,0.37%
6352592240901579272,2021-07,4.51%
5574997762710520717,2021-07,1.15%
5574997762710520717,2021-07,2.45%
8939476669690489534,2021-07,0.30%
107343823625119033,2021-07,0.40%
6349142675790687765,2021-07,14.14%
6349142675790687765,2021-07,14.14%
6349142675790687765,2021-07,8.87%
5067621068959932809,2021-07,1.05%
5067621068959932809,2021-07,1.05%
5067621068959932809,2021-07,1.05%
5067621068959932809,2021-07,3.24%
5067621068959932809,2021-07,3.11%
2397171153213063761,2021-07,0.93%
2397171153213063761,2021-07,0.33%
2397171153213063761,2021-07,0.44%
2397171153213063761,2021-07,0.81%
2397171153213063761,2021-07,0.93%
8195468623809753777,2021-07,0.04%
8195468623809753777,2021-07,0.06%
8195468623809753777,2021-07,0.02%
8195468623809753777,2021-07,0.09%
6271697692808086495,2021-07,0.09%
5176940320835464459,2021-07,5.70%
5176940320835464459,2021-07,6.77%
5176940320835464459,2021-07,6.92%
5176940320835464459,2021-07,6.99%
5176940320835464459,2021-07,5.70%
5176940320835464459,2021-07,3.71%
5176940320835464459,2021-07,3.73%
4795152981525833467,2021-07,1.11%
4795152981525833467,2021-07,1.56%
4795152981525833467,2021-07,1.56%
4795152981525833467,2021-07,0.39%
4795152981525833467,2021-07,66.04%
6012031176108922616,2021-07,6.18%
1998941557906036376,2021-07,80.40%
8464809590757561185,2021-07,1.05%
8464809590757561185,2021-07,8.01%
8464809590757561185,2021-07,4.96%
8464809590757561185,2021-07,1.13%
6721448955097663572,2021-07,8.55%
6721448955097663572,2021-07,14.97%
6721448955097663572,2021-07,7.12%
5225029212547588718,2021-07,0.16%
5225029212547588718,2021-07,0.08%
5225029212547588718,2021-07,0.05%
8926565682509268383,2021-07,0.31%
8926565682509268383,2021-07,0.24%
8926565682509268383,2021-07,0.24%
8926565682509268383,2021-07,0.24%
8926565682509268383,2021-07,0.19%
8926565682509268383,2021-07,0.27%
8926565682509268383,2021-07,0.33%
2983174282784691273,2021-07,0.56%
2983174282784691273,2021-07,17.00%
8536031856585966123,2021-07,15.65%
8536031856585966123,2021-07,8.67%
8536031856585966123,2021-07,71.18%
8536031856585966123,2021-07,80.35%
8536031856585966123,2021-07,49.22%
7696655736121386405,2021-07,0.16%
7696655736121386405,2021-07,0.14%
7750874287225529604,2021-07,4.08%
7750874287225529604,2021-07,4.16%
7750874287225529604,2021-07,2.11%
8013668117699219722,2021-07,0.75%
7289435138601868544,2021-07,0.03%
7289435138601868544,2021-07,0.03%
7289435138601868544,2021-07,0.03%
5042877476420217533,2021-07,0.38%
5042877476420217533,2021-07,0.30%
1299146298565441811,2021-07,0.73%
8376902089871279815,2021-07,1.54%
8376902089871279815,2021-07,0.50%
8376902089871279815,2021-07,0.34%
3997247264680905799,2021-07,21.84%
3997247264680905799,2021-07,21.84%
5029701292539093910,2021-07,5.30%
8733525963966339207,2021-07,2.15%
8733525963966339207,2021-07,3.02%
8733525963966339207,2021-07,0.46%
1454789421854453615,2021-07,1.39%
1454789421854453615,2021-07,2.49%
1454789421854453615,2021-07,2.33%
1454789421854453615,2021-07,7.14%
3156852928909455203,2021-07,0.46%
3156852928909455203,2021-07,0.46%
7590999900861381526,2021-07,26.99%
4556737702757145073,2021-07,4.71%
6545052034269841737,2021-07,1.90%
6545052034269841737,2021-07,1.93%
6545052034269841737,2021-07,88.38%
6545052034269841737,2021-07,1.48%
6545052034269841737,2021-07,1.53%
6545052034269841737,2021-07,1.48%
3571198145319411787,2021-07,1.99%
3571198145319411787,2021-07,1.99%
3571198145319411787,2021-07,25.28%
3571198145319411787,2021-07,1.80%
8874257794774679816,2021-07,0.75%
2634859679238614382,2021-07,0.20%
2634859679238614382,2021-07,1.31%
2634859679238614382,2021-07,1.37%
2634859679238614382,2021-07,0.26%
2634859679238614382,2021-07,0.20%
2634859679238614382,2021-07,0.12%
2678966409665050034,2021-07,0.24%
2678966409665050034,2021-07,0.38%
2678966409665050034,2021-07,0.36%
2678966409665050034,2021-07,0.40%
2250817603281429928,2021-07,0.17%
7458891296671174680,2021-07,25.22%
8213533889694327948,2021-07,0.03%
8213533889694327948,2021-07,0.03%
8213533889694327948,2021-07,0.03%
6471448246085839373,2021-07,0.22%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.12%
2532435113844289043,2021-07,0.13%
2532435113844289043,2021-07,0.16%
2532435113844289043,2021-07,0.22%
2532435113844289043,2021-07,0.22%
3137879241768961145,2021-07,0.42%
3137879241768961145,2021-07,0.07%
3118152790263512426,2021-07,0.50%
3118152790263512426,2021-07,0.07%
903093877129717133,2021-07,0.29%
903093877129717133,2021-07,0.29%
2645324649046215594,2021-07,0.87%
2645324649046215594,2021-07,1.66%
2645324649046215594,2021-07,1.37%
621182491555347581,2021-07,27.08%
621182491555347581,2021-07,8.18%
8706851346184249504,2021-07,1.52%
1343530446996409207,2021-07,0.57%
1343530446996409207,2021-07,0.14%
3977861004707764824,2021-07,3.73%
3977861004707764824,2021-07,6.68%
3977861004707764824,2021-07,3.73%
3977861004707764824,2021-07,6.68%
3977861004707764824,2021-07,3.73%
1156053485989336481,2021-07,2.91%
1156053485989336481,2021-07,1.93%
1156053485989336481,2021-07,78.13%
1156053485989336481,2021-07,1.93%
1156053485989336481,2021-07,3.24%
1156053485989336481,2021-07,5.73%
1156053485989336481,2021-07,6.56%
1118514612547157551,2021-07,5.86%
1118514612547157551,2021-07,4.10%
6817075905797098547,2021-07,11.06%
2451708306555441014,2021-07,0.13%
7442192566700924647,2021-07,0.04%
7442192566700924647,2021-07,2.16%
7442192566700924647,2021-07,0.06%
7442192566700924647,2021-07,0.06%
2988042199057874759,2021-07,0.49%
3634047863995720708,2021-07,0.11%
7085295800541340563,2021-07,0.07%
7085295800541340563,2021-07,0.16%
7085295800541340563,2021-07,0.16%
4335865859049992260,2021-07,2.45%
4335865859049992260,2021-07,0.28%
2290083177086946553,2021-07,0.32%
2290083177086946553,2021-07,0.32%
2290083177086946553,2021-07,4.78%
7177785309735471560,2021-07,0.28%
7177785309735471560,2021-07,0.10%
5477523784812182605,2021-07,86.46%
5477523784812182605,2021-07,57.25%
8961924617442201922,2021-07,0.81%
7595945751692012281,2021-07,1.46%
2333404192508932057,2021-07,33.47%
2333404192508932057,2021-07,4.06%
2333404192508932057,2021-07,21.21%
4593070249039532001,2021-07,0.60%
6053752047545474051,2021-07,3.68%
6053752047545474051,2021-07,11.10%
6053752047545474051,2021-07,3.44%
6053752047545474051,2021-07,3.68%
6053752047545474051,2021-07,4.78%
6053752047545474051,2021-07,2.18%
6053752047545474051,2021-07,2.51%
6091519986999196884,2021-07,0.47%
6091519986999196884,2021-07,0.41%
7535160686416710323,2021-07,1.47%
3036967290595689189,2021-07,0.27%
5999145415800242177,2021-07,1.97%
5999145415800242177,2021-07,6.73%
7930644815080409701,2021-07,0.23%
510795635145114083,2021-07,0.13%
510795635145114083,2021-07,2.09%
510795635145114083,2021-07,0.13%
510795635145114083,2021-07,0.13%
510795635145114083,2021-07,0.15%
187117706370645370,2021-07,0.65%
187117706370645370,2021-07,0.31%
187117706370645370,2021-07,0.33%
5462970244186515758,2021-07,0.94%
5462970244186515758,2021-07,0.45%
4769364850030443969,2021-07,0.22%
4769364850030443969,2021-07,0.22%
4769364850030443969,2021-07,0.31%
5726178124659661019,2021-07,1.11%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.22%
5726178124659661019,2021-07,38.77%
5726178124659661019,2021-07,0.36%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,1.02%
5726178124659661019,2021-07,0.31%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.76%
5726178124659661019,2021-07,0.31%
5726178124659661019,2021-07,0.33%
5726178124659661019,2021-07,0.36%
5726178124659661019,2021-07,0.16%
4095739077267179172,2021-07,8.58%
4095739077267179172,2021-07,15.49%
4095739077267179172,2021-07,49.69%
1551531256789550891,2021-07,2.02%
1551531256789550891,2021-07,2.02%
1551531256789550891,2021-07,1.22%
9108733472015251498,2021-07,1.25%
851897122328714307,2021-07,0.72%
6795467882769787169,2021-07,2.60%
5856610998569876318,2021-07,0.55%
3093415403379897112,2021-07,8.88%
4850722092974676955,2021-07,0.94%
4850722092974676955,2021-07,0.28%
3140918607946425426,2021-07,3.00%
7398738404146260251,2021-07,0.18%
4863405965754103821,2021-07,2.12%
4863405965754103821,2021-07,3.23%
4863405965754103821,2021-07,14.84%
4863405965754103821,2021-07,10.19%
4863405965754103821,2021-07,1.02%
4863405965754103821,2021-07,1.02%
4863405965754103821,2021-07,9.24%
4863405965754103821,2021-07,9.24%
4863405965754103821,2021-07,9.24%
798425422240919854,2021-07,0.40%
1308019675417057675,2021-07,28.34%
1308019675417057675,2021-07,28.34%
6238903426443761049,2021-07,0.88%
6238903426443761049,2021-07,0.88%
6238903426443761049,2021-07,2.63%
4465150716052427320,2021-07,22.35%
4465150716052427320,2021-07,6.51%
1033361676287635885,2021-07,0.46%
1033361676287635885,2021-07,0.16%
1033361676287635885,2021-07,0.16%
652740132671309295,2021-07,0.21%
652740132671309295,2021-07,0.30%
652740132671309295,2021-07,0.25%
8004521604421988528,2021-07,0.95%
8004521604421988528,2021-07,0.63%
8348574220426911086,2021-07,77.85%
5301988619224057921,2021-07,8.69%
5301988619224057921,2021-07,8.69%
5301988619224057921,2021-07,13.91%
5301988619224057921,2021-07,13.40%
5301988619224057921,2021-07,22.64%
5301988619224057921,2021-07,13.40%
8350724667410677464,2021-07,0.04%
8350724667410677464,2021-07,0.07%
7457803471605010846,2021-07,0.13%
7457803471605010846,2021-07,0.06%
1430896989654626045,2021-07,14.20%
1430896989654626045,2021-07,14.20%
1430896989654626045,2021-07,2.96%
2554972344348383830,2021-07,0.31%
2554972344348383830,2021-07,0.31%
2819054834565698513,2021-07,7.61%
2819054834565698513,2021-07,58.97%
8843432852270832388,2021-07,2.78%
2943087245123311166,2021-07,1.87%
2943087245123311166,2021-07,39.76%
2943087245123311166,2021-07,5.92%
2943087245123311166,2021-07,1.87%
8826489829259520138,2021-07,4.33%
8826489829259520138,2021-07,4.06%
8826489829259520138,2021-07,0.71%
8826489829259520138,2021-07,0.43%
8535586342375301953,2021-07,0.96%
1661240395903230676,2021-07,0.35%
1661240395903230676,2021-07,0.35%
1661240395903230676,2021-07,1.35%
1661240395903230676,2021-07,0.52%
1276604410881911401,2021-07,0.21%
1276604410881911401,2021-07,0.17%
1276604410881911401,2021-07,0.21%
1276604410881911401,2021-07,0.21%
1276604410881911401,2021-07,0.21%
1276604410881911401,2021-07,0.17%
1276604410881911401,2021-07,0.38%
1276604410881911401,2021-07,0.39%
1276604410881911401,2021-07,0.39%
1276604410881911401,2021-07,0.42%
5432443358006556295,2021-07,0.69%
5432443358006556295,2021-07,0.83%
8603678028264007695,2021-07,1.05%
8603678028264007695,2021-07,0.54%
5511113649464808344,2021-07,45.37%
5511113649464808344,2021-07,0.80%
5511113649464808344,2021-07,0.55%
3263212305228307743,2021-07,5.41%
3263212305228307743,2021-07,1.52%
3263212305228307743,2021-07,2.03%
3263212305228307743,2021-07,1.17%
170089315547146305,2021-07,0.10%
170089315547146305,2021-07,0.10%
170089315547146305,2021-07,0.10%
170089315547146305,2021-07,0.10%
4740535838297269949,2021-07,0.41%
4740535838297269949,2021-07,0.41%
4740535838297269949,2021-07,0.33%
4740535838297269949,2021-07,0.41%
4740535838297269949,2021-07,0.33%
4740535838297269949,2021-07,0.16%
7970976988071755401,2021-07,0.10%
7970976988071755401,2021-07,0.13%
8287608084245946173,2021-07,1.59%
8287608084245946173,2021-07,1.00%
1423952977138155129,2021-07,1.23%
1423952977138155129,2021-07,0.50%
2455576782104041698,2021-07,0.52%
2455576782104041698,2021-07,10.17%
6373947691253940364,2021-07,0.47%
459290606780222306,2021-07,3.88%
459290606780222306,2021-07,3.88%
459290606780222306,2021-07,4.26%
459290606780222306,2021-07,3.88%
459290606780222306,2021-07,1.22%
459290606780222306,2021-07,2.53%
459290606780222306,2021-07,1.95%
4052557282157719526,2021-07,12.14%
7215093571368368138,2021-07,0.23%
7215093571368368138,2021-07,0.15%
7215093571368368138,2021-07,0.76%
1192891347324061812,2021-07,0.09%
1192891347324061812,2021-07,0.11%
1192891347324061812,2021-07,0.36%
1192891347324061812,2021-07,0.11%
1192891347324061812,2021-07,0.09%
3022528659032597047,2021-07,5.00%
3022528659032597047,2021-07,6.55%
2763141362035716801,2021-07,9.39%
2763141362035716801,2021-07,9.39%
5465001651966355821,2021-07,1.64%
5465001651966355821,2021-07,0.48%
5880041582322293710,2021-07,0.70%
5880041582322293710,2021-07,50.92%
5880041582322293710,2021-07,0.53%
5880041582322293710,2021-07,0.49%
6927178425683104769,2021-07,1.07%
6927178425683104769,2021-07,0.27%
7325545718770538459,2021-07,2.78%
7325545718770538459,2021-07,2.85%
7325545718770538459,2021-07,74.18%
7325545718770538459,2021-07,2.78%
7325545718770538459,2021-07,2.85%
7325545718770538459,2021-07,2.78%
7325545718770538459,2021-07,3.01%
5753677550753111444,2021-07,0.06%
5753677550753111444,2021-07,0.15%
8559143756893267192,2021-07,8.74%
1292049196559782171,2021-07,0.39%
4334472256949955221,2021-07,0.90%
4334472256949955221,2021-07,0.20%
6367769402148499693,2021-07,1.10%
6367769402148499693,2021-07,1.10%
6367769402148499693,2021-07,0.43%
7816319470107777265,2021-07,0.25%
7816319470107777265,2021-07,1.27%
696014079855281037,2021-07,2.09%
4874157215501489741,2021-07,9.24%
4874157215501489741,2021-07,24.97%
4874157215501489741,2021-07,3.93%
3204108603682323936,2021-07,0.78%
3204108603682323936,2021-07,1.66%
3204108603682323936,2021-07,0.78%
3204108603682323936,2021-07,0.58%
4202876623878743806,2021-07,0.87%
3822753345985951756,2021-07,7.01%
3822753345985951756,2021-07,4.27%
5799279645678609726,2021-07,0.13%
4850936440093751199,2021-07,1.26%
4850936440093751199,2021-07,1.36%
7436628409157313756,2021-07,5.51%
5855956854975734380,2021-07,1.04%
8123515208041701633,2021-07,15.89%
8123515208041701633,2021-07,23.46%
8123515208041701633,2021-07,11.39%
6754039979151386401,2021-07,0.11%
6941381638534728190,2021-07,2.73%
6941381638534728190,2021-07,2.04%
6941381638534728190,2021-07,2.04%
8332840690177201182,2021-07,4.35%
8332840690177201182,2021-07,1.17%
8332840690177201182,2021-07,1.17%
7870373680211625064,2021-07,0.11%
7870373680211625064,2021-07,0.01%
2371917341091102894,2021-07,1.78%
2371917341091102894,2021-07,0.39%
7451017400765373278,2021-07,0.86%
7451017400765373278,2021-07,1.53%
5931905128207886847,2021-07,0.68%
4995679129936981612,2021-07,1.55%
69766362497027920,2021-07,0.06%
2735662700719640627,2021-07,1.81%
2308217045093677129,2021-07,1.98%
4820852183212661131,2021-07,28.23%
4820852183212661131,2021-07,2.89%
4820852183212661131,2021-07,9.60%
984915269987074754,2021-07,0.93%
670573866376512619,2021-07,1.62%
670573866376512619,2021-07,1.62%
2012477868296377155,2021-07,77.34%
2012477868296377155,2021-07,77.34%
2012477868296377155,2021-07,61.85%
2012477868296377155,2021-07,57.59%
2012477868296377155,2021-07,62.11%
